hour,day_of_week,month,zone,weather,is_holiday,temperature_c,demand
14,6,11,Zone_A,snow,0,14.8,0.0
2,3,8,Zone_A,clear,0,19.7,137.6
13,4,2,Zone_D,clear,0,24.2,90.9
16,0,2,Zone_D,snow,0,21.6,25.3
3,4,6,Zone_C,clear,0,36.1,159.5
17,0,3,Zone_C,rain,0,31.3,32.9
7,6,3,Zone_D,clear,0,16.5,151.3
3,5,8,Zone_D,clear,0,17.7,152.1
1,4,3,Zone_B,clear,0,26.9,135.7
5,5,6,Zone_C,clear,0,28.0,163.5
21,2,1,Zone_C,clear,0,21.5,60.1
9,3,3,Zone_C,clear,0,16.9,174.0
3,6,11,Zone_B,rain,0,19.2,117.9
21,5,5,Zone_C,clear,0,18.1,17.6
17,6,10,Zone_C,fog,1,30.9,0.0
11,1,12,Zone_A,rain,0,27.1,122.0
1,4,4,Zone_B,clear,0,14.9,129.2
9,2,8,Zone_A,rain,0,31.3,173.4
3,6,5,Zone_B,clear,0,15.9,143.5
13,1,1,Zone_B,clear,0,8.6,94.6
15,5,10,Zone_D,clear,0,8.6,15.2
14,1,11,Zone_A,clear,0,13.1,76.4
7,1,10,Zone_D,clear,0,29.1,187.6
13,5,1,Zone_B,rain,0,23.5,47.3
22,2,3,Zone_D,clear,0,33.7,63.1
7,5,5,Zone_C,snow,0,35.6,105.0
20,0,3,Zone_C,clear,1,35.1,0.0
15,1,11,Zone_D,fog,0,28.1,36.4
12,3,5,Zone_B,fog,0,22.2,104.5
17,6,1,Zone_D,fog,0,17.2,0.0
14,0,1,Zone_A,clear,0,15.3,62.4
20,2,7,Zone_D,rain,0,32.8,10.3
23,1,5,Zone_C,clear,0,22.8,109.2
12,2,2,Zone_A,clear,0,30.1,99.4
8,2,9,Zone_A,rain,0,19.6,161.9
14,1,9,Zone_D,clear,0,15.7,60.0
12,2,9,Zone_A,clear,0,18.5,109.9
0,6,4,Zone_D,clear,0,21.4,65.5
6,6,4,Zone_A,rain,0,23.3,144.3
8,3,11,Zone_C,clear,1,38.8,176.6
23,3,9,Zone_C,clear,0,32.9,90.3
0,4,12,Zone_D,clear,0,15.0,109.0
11,6,1,Zone_A,clear,0,27.3,124.5
7,1,8,Zone_C,rain,0,19.7,174.7
23,1,1,Zone_B,clear,1,22.2,72.1
10,6,7,Zone_B,clear,0,23.0,125.2
18,1,6,Zone_C,clear,0,22.9,44.0
16,4,11,Zone_B,clear,0,23.7,25.2
7,5,8,Zone_B,clear,0,9.9,148.4
2,3,5,Zone_D,clear,0,13.2,156.0
2,3,8,Zone_B,rain,1,13.2,100.8
0,1,6,Zone_B,clear,0,23.0,110.3
4,2,9,Zone_C,snow,0,13.7,165.2
9,0,3,Zone_A,clear,0,29.6,174.6
6,0,4,Zone_B,clear,0,27.6,184.8
8,1,7,Zone_B,clear,0,18.1,153.9
6,1,2,Zone_D,rain,0,27.1,159.4
8,3,6,Zone_B,clear,0,19.3,188.0
7,6,8,Zone_C,clear,0,20.9,156.1
11,3,3,Zone_D,rain,0,6.0,129.7
1,2,1,Zone_C,clear,0,20.9,133.3
0,3,5,Zone_B,clear,0,9.8,110.8
15,0,4,Zone_C,snow,1,21.0,0.0
22,6,3,Zone_D,clear,0,14.1,30.6
22,0,6,Zone_D,clear,0,13.6,48.1
23,3,5,Zone_C,clear,1,30.0,54.6
4,0,3,Zone_D,snow,0,14.4,153.2
2,5,2,Zone_C,snow,0,6.1,72.6
11,0,3,Zone_B,fog,0,9.9,107.4
7,0,10,Zone_D,fog,0,27.3,169.4
21,0,4,Zone_A,clear,0,4.0,53.0
2,4,9,Zone_A,clear,0,22.1,147.1
0,1,6,Zone_C,rain,0,7.0,87.2
2,6,6,Zone_A,fog,0,14.8,76.8
4,2,1,Zone_C,rain,0,22.9,174.6
14,4,10,Zone_C,clear,0,30.2,82.4
13,6,4,Zone_B,clear,0,27.3,57.9
2,2,11,Zone_D,clear,0,29.7,164.5
0,4,3,Zone_C,clear,0,14.7,119.4
4,4,4,Zone_B,clear,0,24.2,192.8
22,2,2,Zone_B,clear,0,23.9,66.2
13,1,10,Zone_B,fog,0,28.0,65.7
6,6,9,Zone_C,rain,0,12.7,130.3
8,3,6,Zone_B,rain,0,16.9,158.6
14,4,1,Zone_C,rain,0,6.0,53.5
14,6,4,Zone_D,rain,0,29.0,26.1
9,6,11,Zone_D,clear,0,26.5,156.1
12,1,5,Zone_A,clear,0,20.0,121.4
18,3,2,Zone_B,clear,0,16.6,21.9
6,6,7,Zone_A,clear,0,24.7,173.5
16,2,4,Zone_A,snow,0,14.7,0.0
19,4,5,Zone_B,rain,0,25.0,18.3
3,3,8,Zone_C,fog,0,18.2,133.7
4,1,7,Zone_A,clear,0,23.5,184.4
22,6,12,Zone_B,rain,0,13.9,24.1
6,3,3,Zone_D,clear,0,18.2,171.9
12,2,5,Zone_A,clear,0,13.3,80.2
14,3,8,Zone_D,clear,0,23.7,86.7
10,0,10,Zone_B,clear,0,12.5,159.7
3,4,4,Zone_D,rain,0,23.7,154.4
12,1,7,Zone_B,clear,0,26.1,92.7
6,5,12,Zone_C,clear,0,13.4,152.7
18,1,9,Zone_B,snow,0,19.4,0.0
21,4,11,Zone_A,clear,0,27.7,52.4
1,4,12,Zone_A,clear,0,14.8,126.1
9,0,2,Zone_C,clear,1,20.7,118.2
12,0,5,Zone_C,clear,0,8.0,101.8
20,1,1,Zone_B,clear,0,12.5,35.3
5,5,6,Zone_C,clear,0,27.5,152.6
11,3,7,Zone_C,fog,1,13.7,70.3
11,5,6,Zone_A,snow,0,25.9,67.0
19,4,6,Zone_B,fog,1,23.0,0.0
10,0,6,Zone_D,clear,0,25.0,154.9
22,0,8,Zone_B,clear,0,20.7,59.3
6,0,9,Zone_A,clear,0,12.0,202.2
0,3,4,Zone_B,clear,0,19.9,99.8
0,6,3,Zone_B,clear,0,31.8,80.4
19,1,7,Zone_B,snow,1,8.9,0.0
12,5,8,Zone_B,clear,0,20.4,68.1
8,6,3,Zone_B,clear,0,25.1,143.3
2,1,6,Zone_C,rain,0,16.2,122.0
6,0,7,Zone_C,clear,0,21.8,181.7
5,3,7,Zone_C,clear,0,11.5,189.1
7,3,11,Zone_D,clear,0,23.1,183.9
8,1,2,Zone_B,rain,0,27.5,178.2
4,4,8,Zone_A,clear,0,23.5,164.9
0,0,10,Zone_A,clear,0,25.1,98.4
18,3,6,Zone_C,clear,0,9.5,38.0
9,4,6,Zone_A,clear,0,29.7,176.5
11,2,3,Zone_A,snow,0,6.9,78.4
23,5,6,Zone_B,clear,0,10.7,63.4
14,0,9,Zone_C,snow,0,23.6,22.2
21,5,6,Zone_A,snow,0,20.9,0.0
23,2,4,Zone_B,clear,1,23.4,73.0
8,1,9,Zone_C,clear,0,12.4,162.0
19,1,6,Zone_C,clear,0,10.2,36.0
16,5,6,Zone_B,clear,0,32.2,25.4
16,1,8,Zone_B,clear,0,22.8,62.5
19,6,2,Zone_C,snow,0,27.8,0.0
11,5,2,Zone_C,clear,0,19.3,94.2
6,3,10,Zone_B,snow,0,28.5,164.5
1,3,5,Zone_C,rain,0,21.3,138.7
2,4,9,Zone_A,clear,0,35.3,140.4
16,2,1,Zone_B,rain,0,17.6,48.8
4,1,1,Zone_C,clear,1,13.2,139.4
16,1,2,Zone_D,snow,0,24.2,4.2
23,3,4,Zone_C,snow,0,21.1,58.1
16,3,7,Zone_D,clear,0,16.7,57.0
16,3,12,Zone_A,clear,1,18.3,13.9
1,0,3,Zone_A,fog,0,26.1,83.4
1,2,3,Zone_B,clear,0,24.4,140.4
21,2,6,Zone_B,clear,0,19.1,42.2
22,0,10,Zone_D,rain,0,15.2,68.9
4,1,3,Zone_D,rain,0,29.6,153.0
0,5,7,Zone_D,fog,0,20.2,66.9
0,6,7,Zone_C,fog,0,33.8,58.8
18,6,4,Zone_C,clear,0,22.9,0.4
1,5,10,Zone_B,rain,0,16.2,82.1
20,4,5,Zone_C,clear,0,11.0,17.1
11,4,11,Zone_A,clear,1,18.9,99.4
5,1,5,Zone_A,rain,0,22.8,179.7
22,4,1,Zone_A,clear,0,11.1,56.8
3,3,10,Zone_C,clear,0,25.5,161.2
22,2,10,Zone_D,rain,0,20.2,55.3
10,5,3,Zone_C,clear,0,29.6,123.0
23,3,12,Zone_C,snow,0,19.9,40.0
16,4,5,Zone_B,clear,0,41.0,44.7
5,4,11,Zone_C,rain,0,30.8,173.3
23,2,5,Zone_A,fog,0,2.8,54.5
4,6,6,Zone_C,rain,0,27.5,136.4
19,5,1,Zone_B,clear,0,28.8,0.0
1,6,6,Zone_C,clear,0,29.8,102.3
5,3,5,Zone_A,clear,0,27.3,188.3
21,2,9,Zone_A,clear,0,14.9,42.9
10,5,4,Zone_D,clear,0,34.8,103.9
15,4,6,Zone_A,fog,0,23.8,16.3
15,6,7,Zone_A,clear,0,32.2,39.9
0,5,2,Zone_B,snow,0,35.3,9.9
8,2,6,Zone_D,clear,0,35.0,187.6
5,2,5,Zone_D,clear,0,10.9,181.9
15,4,8,Zone_A,clear,0,35.3,59.9
2,6,12,Zone_D,fog,0,26.4,76.9
19,2,6,Zone_C,snow,0,13.4,0.0
3,3,4,Zone_C,rain,0,22.2,150.6
18,6,1,Zone_B,clear,0,19.9,29.5
2,4,3,Zone_A,clear,0,25.0,153.7
18,2,3,Zone_C,rain,0,22.7,7.5
19,1,9,Zone_C,clear,0,35.5,35.4
6,3,6,Zone_A,fog,0,21.5,173.1
19,3,7,Zone_A,clear,0,16.5,44.6
8,3,7,Zone_A,snow,0,21.0,163.3
0,5,2,Zone_D,snow,0,22.8,33.7
7,0,2,Zone_A,snow,0,29.5,137.8
6,4,12,Zone_A,clear,0,9.1,202.0
17,0,5,Zone_C,fog,0,20.7,0.0
7,2,12,Zone_D,fog,0,16.6,181.8
0,4,2,Zone_D,clear,1,32.7,93.7
10,5,4,Zone_D,clear,0,21.4,115.3
17,3,1,Zone_D,clear,1,19.2,0.1
22,3,9,Zone_A,clear,0,17.7,68.4
9,5,11,Zone_A,clear,0,21.2,136.9
2,6,8,Zone_D,clear,0,26.5,95.4
6,3,2,Zone_C,clear,0,14.2,204.1
15,3,9,Zone_A,clear,0,24.7,64.0
15,2,7,Zone_C,fog,0,27.9,6.9
19,6,9,Zone_D,fog,0,29.2,0.0
16,6,4,Zone_B,snow,0,17.0,0.0
1,1,11,Zone_D,clear,0,22.0,135.2
0,5,4,Zone_B,clear,1,42.8,55.7
15,4,2,Zone_D,clear,0,27.4,24.5
11,6,12,Zone_B,rain,0,16.3,84.7
4,1,5,Zone_B,clear,0,9.4,141.6
4,5,12,Zone_A,rain,0,22.8,142.6
22,4,2,Zone_C,fog,0,18.5,50.2
8,5,7,Zone_A,snow,0,37.0,138.0
8,3,11,Zone_A,clear,0,21.1,174.5
2,5,4,Zone_B,clear,0,9.3,121.9
18,6,9,Zone_C,clear,0,25.3,6.0
15,0,7,Zone_B,clear,0,19.4,55.1
15,6,2,Zone_B,fog,0,4.1,0.0
2,2,8,Zone_C,snow,0,25.3,113.4
19,4,9,Zone_B,clear,0,13.7,15.5
23,3,6,Zone_C,fog,0,14.1,78.7
21,0,4,Zone_C,clear,0,24.2,28.7
23,3,6,Zone_C,clear,0,26.8,95.7
0,6,3,Zone_C,clear,0,19.4,98.0
23,2,11,Zone_B,snow,0,26.1,55.5
19,6,4,Zone_A,clear,0,34.2,0.0
10,6,10,Zone_A,clear,0,11.1,115.0
16,0,7,Zone_B,clear,0,9.7,33.3
7,5,5,Zone_B,clear,0,20.3,155.7
3,4,7,Zone_B,clear,0,11.6,158.1
5,5,12,Zone_C,clear,0,12.9,183.6
7,4,8,Zone_B,fog,1,35.9,141.9
19,6,8,Zone_B,fog,0,7.3,0.0
2,5,12,Zone_D,fog,0,14.6,96.6
15,4,11,Zone_A,rain,0,26.1,45.4
2,4,4,Zone_B,rain,1,19.7,128.7
17,0,4,Zone_B,clear,0,31.3,21.3
13,2,11,Zone_C,clear,0,34.4,89.4
17,0,3,Zone_D,clear,0,15.5,39.5
1,4,2,Zone_A,clear,0,15.3,127.9
21,2,1,Zone_C,clear,0,25.3,54.6
2,1,4,Zone_A,clear,1,29.0,131.0
15,1,5,Zone_B,fog,0,24.1,14.3
8,6,5,Zone_B,clear,0,8.1,166.3
3,5,4,Zone_C,clear,0,22.1,138.8
0,0,4,Zone_A,clear,0,17.1,113.9
3,4,11,Zone_C,fog,0,24.2,161.8
0,5,2,Zone_D,fog,0,13.9,45.6
13,1,8,Zone_C,clear,0,28.4,71.5
20,1,2,Zone_A,clear,0,26.6,42.0
15,6,11,Zone_D,clear,0,27.1,27.0
19,3,5,Zone_D,clear,0,26.1,35.4
23,3,9,Zone_A,clear,0,20.3,89.7
7,5,5,Zone_D,clear,0,21.1,164.6
6,6,1,Zone_D,clear,0,10.4,164.0
2,5,9,Zone_D,rain,0,23.6,110.2
16,2,10,Zone_C,clear,0,34.1,40.7
0,2,9,Zone_C,clear,0,16.1,97.4
15,4,11,Zone_C,rain,0,27.3,42.5
11,1,1,Zone_A,clear,0,20.1,115.4
18,0,3,Zone_D,clear,0,35.9,51.1
21,0,9,Zone_D,clear,0,16.0,53.4
22,3,2,Zone_B,clear,0,20.3,64.0
21,6,2,Zone_D,rain,0,28.1,0.0
13,6,7,Zone_D,clear,0,27.1,51.0
5,6,7,Zone_C,snow,0,27.0,109.9
5,2,4,Zone_D,rain,0,20.2,160.0
12,4,5,Zone_D,fog,0,41.0,100.0
18,6,9,Zone_D,rain,0,20.5,0.0
21,3,11,Zone_D,clear,0,29.4,47.1
7,3,6,Zone_C,fog,1,33.4,130.7
1,4,2,Zone_D,clear,0,16.0,125.2
20,4,11,Zone_B,fog,0,16.1,5.0
0,5,7,Zone_C,clear,0,29.0,61.8
14,1,10,Zone_C,clear,0,11.2,66.9
0,6,5,Zone_D,rain,0,24.6,51.2
4,4,9,Zone_C,rain,0,26.7,179.7
15,4,11,Zone_D,clear,0,37.1,48.3
18,3,2,Zone_B,clear,0,28.5,37.8
3,3,7,Zone_D,clear,0,17.6,170.6
2,0,5,Zone_D,snow,0,24.1,79.1
16,5,1,Zone_D,clear,0,27.8,13.9
16,0,1,Zone_B,clear,0,26.0,56.3
11,0,12,Zone_C,rain,0,10.9,115.1
13,4,1,Zone_C,rain,0,32.1,88.9
20,1,5,Zone_B,rain,0,20.2,22.4
5,3,1,Zone_B,rain,0,22.5,169.3
2,2,9,Zone_B,fog,0,14.7,112.3
8,6,11,Zone_D,clear,0,26.7,162.5
4,6,9,Zone_C,rain,0,34.5,139.4
23,1,8,Zone_D,rain,0,19.7,85.6
16,5,5,Zone_C,rain,0,29.0,0.0
13,6,9,Zone_C,rain,0,24.8,60.0
20,2,2,Zone_C,rain,0,26.4,15.8
2,5,12,Zone_D,clear,0,20.6,121.2
0,6,12,Zone_C,rain,0,13.8,52.3
19,4,3,Zone_C,clear,0,28.7,19.8
20,5,3,Zone_A,clear,0,24.4,7.5
22,6,4,Zone_A,clear,0,39.8,30.3
0,2,2,Zone_B,clear,0,22.2,93.3
2,5,12,Zone_D,snow,0,23.7,87.8
17,5,12,Zone_C,snow,0,16.2,0.0
9,0,10,Zone_D,clear,0,22.8,152.6
21,5,4,Zone_B,fog,0,12.4,2.8
2,3,1,Zone_B,clear,0,29.3,162.3
7,1,7,Zone_B,clear,0,24.4,210.7
13,0,5,Zone_D,clear,0,8.2,81.8
23,3,4,Zone_B,snow,0,44.5,53.0
17,6,2,Zone_B,snow,0,31.0,0.0
14,5,12,Zone_C,snow,0,26.4,0.0
21,6,8,Zone_C,fog,1,26.2,0.0
22,0,12,Zone_D,snow,0,25.5,54.1
1,1,12,Zone_A,rain,0,15.4,106.5
9,4,3,Zone_B,clear,0,5.1,160.5
1,2,5,Zone_C,snow,0,31.6,87.5
16,4,3,Zone_C,clear,0,16.0,37.0
7,5,12,Zone_B,clear,0,17.9,159.6
0,5,10,Zone_D,clear,0,12.4,102.0
8,6,7,Zone_C,clear,0,30.2,139.4
10,2,4,Zone_A,clear,0,32.0,165.2
21,2,12,Zone_A,rain,0,35.5,40.2
15,6,9,Zone_D,fog,0,24.1,10.1
6,5,1,Zone_B,clear,0,40.0,130.3
9,1,5,Zone_C,clear,0,13.6,162.3
22,1,5,Zone_C,fog,0,21.2,35.8
2,4,11,Zone_B,rain,0,9.8,150.6
17,3,7,Zone_D,clear,0,11.6,35.0
23,3,1,Zone_C,rain,0,22.1,86.0
12,4,8,Zone_D,fog,0,38.4,83.4
6,6,7,Zone_C,snow,0,2.7,112.5
3,2,8,Zone_B,snow,0,26.3,141.6
12,6,12,Zone_C,clear,0,25.8,79.5
19,1,1,Zone_D,rain,0,16.0,17.9
0,4,11,Zone_D,clear,0,26.7,109.4
7,3,3,Zone_C,snow,0,17.8,151.5
13,2,6,Zone_A,rain,0,26.2,73.4
15,3,7,Zone_A,fog,0,32.3,16.5
13,2,11,Zone_C,rain,0,20.0,68.1
11,3,3,Zone_C,clear,0,33.8,133.9
18,5,9,Zone_C,snow,0,24.7,0.0
22,0,5,Zone_B,snow,0,28.5,36.2
14,2,7,Zone_C,clear,0,18.6,72.8
1,2,7,Zone_A,clear,0,19.0,132.5
1,6,5,Zone_C,clear,0,27.3,112.1
22,2,4,Zone_C,clear,0,39.1,55.7
21,0,9,Zone_C,rain,0,18.3,58.1
18,0,4,Zone_C,fog,0,29.1,0.0
21,6,12,Zone_A,clear,0,26.0,18.8
21,3,7,Zone_D,clear,0,33.6,57.3
16,1,2,Zone_D,clear,0,15.3,38.5
19,6,8,Zone_A,clear,0,20.7,0.0
9,5,4,Zone_C,fog,0,17.8,115.1
5,3,5,Zone_D,snow,0,14.3,154.1
14,2,5,Zone_A,rain,0,5.1,43.9
21,2,1,Zone_B,rain,0,17.7,39.0
10,5,4,Zone_D,clear,0,22.0,129.4
4,6,7,Zone_B,clear,0,5.6,146.8
0,3,4,Zone_A,clear,0,16.1,110.1
7,4,2,Zone_B,rain,0,14.4,161.4
20,1,5,Zone_A,fog,0,13.9,4.5
11,0,7,Zone_D,rain,0,20.5,95.2
11,1,4,Zone_D,snow,0,14.8,69.3
4,4,6,Zone_B,clear,0,33.4,170.5
6,3,11,Zone_C,clear,0,23.9,170.6
3,6,4,Zone_D,clear,0,24.0,142.0
5,3,3,Zone_A,clear,0,23.4,201.8
12,2,10,Zone_A,clear,0,26.9,105.2
19,5,11,Zone_A,clear,0,17.9,13.4
14,3,1,Zone_D,clear,0,34.3,52.1
2,4,11,Zone_B,clear,0,21.8,157.4
22,3,11,Zone_C,rain,0,34.4,57.6
7,6,8,Zone_C,clear,0,18.5,153.8
19,3,11,Zone_B,fog,0,31.4,7.7
15,4,6,Zone_B,snow,0,3.6,15.0
12,0,10,Zone_C,clear,1,22.8,84.4
17,1,3,Zone_A,clear,0,22.2,25.5
9,6,1,Zone_B,fog,1,30.4,92.1
18,3,4,Zone_B,clear,0,11.9,27.0
16,1,11,Zone_C,clear,0,22.5,32.6
23,1,12,Zone_D,clear,0,28.3,96.4
18,2,4,Zone_B,rain,0,33.4,9.9
22,0,12,Zone_B,snow,0,8.5,28.1
4,1,8,Zone_C,clear,0,16.5,187.9
20,2,6,Zone_C,fog,0,23.1,32.8
22,4,3,Zone_B,snow,1,33.8,16.4
8,4,5,Zone_D,clear,0,16.8,176.6
11,4,11,Zone_A,rain,0,30.4,112.1
20,5,6,Zone_B,rain,0,9.2,5.4
0,5,11,Zone_A,clear,0,10.4,69.0
0,6,5,Zone_D,clear,0,18.6,72.9
14,4,2,Zone_C,snow,0,24.4,41.5
1,4,6,Zone_C,clear,0,27.9,122.1
21,2,8,Zone_C,clear,0,21.5,44.7
15,0,8,Zone_C,clear,0,19.3,58.3
7,0,11,Zone_A,clear,0,22.2,185.2
12,2,6,Zone_B,clear,0,37.3,111.1
20,2,3,Zone_C,clear,0,22.8,38.8
0,5,8,Zone_D,clear,0,16.2,112.0
15,3,1,Zone_D,rain,1,34.4,11.5
6,1,7,Zone_C,clear,0,27.8,201.4
4,5,8,Zone_C,clear,0,25.1,156.8
21,6,5,Zone_C,rain,0,28.2,2.8
22,5,4,Zone_A,clear,0,16.8,38.4
2,4,5,Zone_A,fog,0,25.5,146.6
11,5,1,Zone_B,clear,1,19.2,67.7
15,5,6,Zone_A,clear,1,24.5,0.0
18,1,12,Zone_B,clear,0,24.6,47.7
4,3,11,Zone_C,fog,0,30.1,150.7
21,6,10,Zone_C,clear,1,18.3,0.0
13,0,5,Zone_B,fog,0,28.1,73.0
4,6,5,Zone_C,clear,0,17.8,135.6
14,4,5,Zone_D,clear,1,14.8,39.0
16,5,9,Zone_B,clear,1,17.0,0.0
13,5,12,Zone_A,rain,0,27.1,39.4
19,0,9,Zone_B,clear,0,17.9,24.6
4,2,8,Zone_D,clear,0,19.7,166.9
11,6,10,Zone_A,snow,0,18.5,54.2
15,1,9,Zone_C,clear,0,21.9,64.0
15,0,5,Zone_A,rain,0,12.0,45.4
20,3,2,Zone_A,clear,0,21.7,36.4
6,0,2,Zone_B,clear,0,1.8,178.8
3,4,10,Zone_C,clear,0,20.8,160.3
0,4,8,Zone_B,fog,0,15.4,64.1
4,1,3,Zone_B,clear,0,35.7,191.3
22,2,1,Zone_C,fog,0,31.6,27.9
9,5,2,Zone_A,clear,0,21.1,126.2
21,4,12,Zone_C,clear,0,25.9,54.2
4,3,6,Zone_D,snow,0,21.0,156.6
3,6,7,Zone_C,clear,0,20.4,140.2
1,1,10,Zone_D,clear,0,20.1,109.0
19,4,12,Zone_A,clear,0,15.2,54.6
9,3,6,Zone_C,clear,0,15.1,164.5
18,5,1,Zone_B,rain,0,18.5,0.0
0,0,12,Zone_B,clear,0,14.6,125.0
23,5,1,Zone_A,clear,0,28.8,62.2
4,3,6,Zone_B,snow,0,21.0,139.5
12,5,7,Zone_D,clear,0,9.4,96.6
3,1,1,Zone_B,clear,0,32.3,163.6
15,4,8,Zone_B,clear,0,50.0,38.7
23,2,5,Zone_B,snow,0,25.1,51.5
15,2,3,Zone_A,fog,0,16.8,25.9
22,3,6,Zone_A,clear,0,11.7,56.4
1,3,5,Zone_A,fog,0,2.9,112.4
16,3,12,Zone_A,clear,0,26.9,51.8
19,4,10,Zone_B,clear,1,30.0,20.4
23,2,6,Zone_B,rain,0,21.1,82.3
11,2,1,Zone_D,clear,0,20.8,132.6
17,1,6,Zone_C,snow,0,26.9,0.0
2,1,1,Zone_D,rain,0,42.8,134.7
0,0,12,Zone_A,rain,0,21.5,83.9
0,4,5,Zone_D,fog,1,40.2,43.4
18,3,5,Zone_A,clear,0,21.8,6.0
10,1,6,Zone_A,clear,1,33.8,118.9
4,0,10,Zone_C,clear,0,27.8,173.1
11,0,10,Zone_D,clear,0,29.6,130.2
2,2,8,Zone_A,snow,0,14.8,116.4
0,4,7,Zone_B,rain,0,24.0,89.0
0,4,7,Zone_D,clear,0,20.7,125.5
7,5,8,Zone_B,clear,0,18.1,138.4
9,3,7,Zone_B,clear,0,28.2,156.9
10,4,5,Zone_C,snow,0,14.7,100.6
11,5,9,Zone_A,clear,0,23.1,64.9
12,3,4,Zone_D,fog,0,20.6,83.4
11,4,4,Zone_B,clear,0,35.4,112.5
13,2,10,Zone_A,clear,0,20.2,109.5
1,5,9,Zone_B,rain,0,30.0,62.0
18,0,7,Zone_C,rain,0,20.0,12.6
17,4,1,Zone_C,snow,0,26.6,0.0
2,6,11,Zone_D,snow,0,17.3,65.2
22,4,3,Zone_D,fog,0,20.8,57.2
16,2,11,Zone_D,clear,0,10.5,23.9
7,1,12,Zone_B,clear,0,15.8,191.8
9,3,12,Zone_D,clear,0,13.8,168.3
1,1,6,Zone_B,clear,0,30.9,135.4
18,0,6,Zone_B,clear,0,42.1,25.3
8,1,12,Zone_D,rain,1,22.2,145.0
6,6,1,Zone_B,rain,0,9.0,148.0
3,6,9,Zone_D,clear,0,13.7,149.5
20,0,10,Zone_A,clear,0,14.6,41.5
17,3,11,Zone_B,clear,0,15.4,35.2
12,2,7,Zone_B,clear,0,17.9,126.9
10,6,10,Zone_A,clear,0,11.7,108.2
23,6,6,Zone_D,clear,0,26.5,72.3
3,0,4,Zone_C,rain,0,21.1,140.2
20,3,1,Zone_D,snow,0,30.1,0.0
3,5,9,Zone_C,clear,0,18.5,143.2
9,2,5,Zone_D,clear,0,20.0,170.5
4,1,9,Zone_C,clear,0,21.8,193.9
8,1,7,Zone_B,rain,0,38.2,174.0
23,0,4,Zone_D,fog,0,20.7,87.4
2,4,11,Zone_B,fog,0,15.5,132.0
16,5,2,Zone_B,clear,0,20.8,10.2
2,4,8,Zone_B,snow,0,22.4,104.2
15,5,9,Zone_B,clear,0,22.7,30.2
3,2,1,Zone_D,snow,0,28.3,117.5
17,1,7,Zone_C,rain,0,33.1,0.0
16,3,12,Zone_A,clear,0,15.4,40.6
6,5,4,Zone_A,clear,0,19.6,155.4
